Frame,ID,State,Confidence
38,8,STANDING,0.68
38,9,STANDING,0.68
38,10,SITTING,0.66
38,11,STANDING,0.61
38,19,SITTING,0.55
38,21,SITTING,0.14
38,22,STANDING,0.46
38,13,SITTING,0.47
39,1,SITTING,0.88
39,2,SITTING,0.86
39,3,STANDING,0.82
39,4,SITTING,0.59
39,5,STANDING,0.84
39,6,SITTING,0.67
39,7,SITTING,0.78
39,8,STANDING,0.69
39,9,STANDING,0.68
39,10,SITTING,0.64
39,11,STANDING,0.66
39,19,SITTING,0.58
39,21,SITTING,0.14
39,22,STANDING,0.43
39,13,SITTING,0.53
40,1,SITTING,0.88
40,2,SITTING,0.86
40,3,STANDING,0.83
40,4,SITTING,0.59
40,5,STANDING,0.84
40,6,SITTING,0.66
40,7,SITTING,0.78
40,8,STANDING,0.69
40,9,STANDING,0.68
40,10,SITTING,0.64
40,11,STANDING,0.68
40,19,SITTING,0.35
40,21,SITTING,0.12
40,22,STANDING,0.44
40,13,SITTING,0.52
41,1,SITTING,0.88
41,2,SITTING,0.85
41,3,STANDING,0.82
41,4,SITTING,0.63
41,5,STANDING,0.84
41,6,SITTING,0.64
41,7,SITTING,0.77
41,8,STANDING,0.69
41,9,STANDING,0.68
41,10,SITTING,0.63
41,11,STANDING,0.66
41,19,SITTING,0.64
41,21,SITTING,0.11
41,22,STANDING,0.37
41,13,SITTING,0.5
42,1,SITTING,0.88
42,2,SITTING,0.84
42,3,STANDING,0.82
42,4,SITTING,0.63
42,5,STANDING,0.84
42,6,SITTING,0.66
42,7,SITTING,0.76
42,8,STANDING,0.68
42,9,STANDING,0.67
42,10,SITTING,0.58
42,11,STANDING,0.63
42,19,SITTING,0.48
42,21,SITTING,0.13
42,22,STANDING,0.37
42,13,SITTING,0.49
43,1,SITTING,0.88
43,2,SITTING,0.84
43,3,STANDING,0.85
43,4,SITTING,0.74
43,5,STANDING,0.84
43,6,SITTING,0.66
43,7,SITTING,0.79
43,8,STANDING,0.71
43,9,STANDING,0.7
43,10,SITTING,0.65
43,11,STANDING,0.6
43,19,SITTING,0.34
43,21,SITTING,0.12
43,22,STANDING,0.23
43,13,SITTING,0.4
44,1,SITTING,0.88
44,2,SITTING,0.82
44,3,STANDING,0.84
44,4,SITTING,0.75
44,5,STANDING,0.84
44,6,SITTING,0.65
44,7,SITTING,0.79
44,8,STANDING,0.71
44,9,STANDING,0.7
44,10,SITTING,0.66
44,11,STANDING,0.56
