Frame,ID,State,Confidence
61,16,SITTING,0.46
61,17,SITTING,0.5
61,18,SITTING,0.51
62,1,STANDING,0.89
62,2,SITTING,0.88
62,3,SITTING,0.87
62,4,SITTING,0.87
62,5,SITTING,0.85
62,6,SITTING,0.84
62,7,SITTING,0.88
62,8,STANDING,0.84
62,9,SITTING,0.79
62,10,SITTING,0.71
62,11,STANDING,0.85
62,12,SITTING,0.52
62,13,STANDING,0.79
62,14,STANDING,0.75
62,15,SITTING,0.61
62,16,SITTING,0.46
62,17,SITTING,0.51
62,18,SITTING,0.51
63,1,STANDING,0.89
63,2,SITTING,0.87
63,3,SITTING,0.87
63,4,SITTING,0.87
63,5,SITTING,0.85
63,6,SITTING,0.83
63,7,SITTING,0.88
63,8,STANDING,0.84
63,9,SITTING,0.79
63,10,SITTING,0.63
63,11,STANDING,0.85
63,12,SITTING,0.53
63,13,STANDING,0.79
63,14,STANDING,0.74
63,15,SITTING,0.61
63,16,SITTING,0.47
63,17,SITTING,0.51
63,18,SITTING,0.51
64,1,STANDING,0.89
64,2,SITTING,0.88
64,3,SITTING,0.87
64,4,SITTING,0.87
64,5,SITTING,0.84
64,6,SITTING,0.82
64,7,SITTING,0.88
64,8,STANDING,0.84
64,9,SITTING,0.76
64,10,SITTING,0.53
64,11,STANDING,0.85
64,12,SITTING,0.54
64,13,STANDING,0.79
64,14,STANDING,0.73
64,15,SITTING,0.61
64,16,SITTING,0.46
